M_3m4hpga	M_3mox4hoxm	R_3MOX4HOXPGALDOX	1.0
M_3m4hpga	M_nadh	R_3MOX4HOXPGALDOX	0.0
M_h2o	M_3mox4hoxm	R_3MOX4HOXPGALDOX	NaN
M_h2o	M_nadh	R_3MOX4HOXPGALDOX	NaN
M_5aop	M_ppbng	R_PPBNGS	1.0
M_5aop	M_h2o	R_PPBNGS	0.0
M_dcholcoa	M_coa	R_BAAT4x	0.4666666666666667
M_dcholcoa	M_dgchol	R_BAAT4x	0.5333333333333333
M_gly	M_coa	R_BAAT4x	0.0
M_gly	M_dgchol	R_BAAT4x	1.0
M_atp	M_aacoa	R_AACOAT	0.0
M_aacoa	M_atp	R_AACOAT	0.0
M_atp	M_amp	R_AACOAT	1.0
M_amp	M_atp	R_AACOAT	1.0
M_atp	M_ppi	R_AACOAT	0.0
M_ppi	M_atp	R_AACOAT	NaN
M_coa	M_aacoa	R_AACOAT	1.0
M_aacoa	M_coa	R_AACOAT	0.84
M_coa	M_amp	R_AACOAT	0.0
M_amp	M_coa	R_AACOAT	0.0
M_coa	M_ppi	R_AACOAT	0.0
M_ppi	M_coa	R_AACOAT	NaN
M_acac	M_aacoa	R_AACOAT	1.0
M_aacoa	M_acac	R_AACOAT	0.16
M_acac	M_amp	R_AACOAT	0.0
M_amp	M_acac	R_AACOAT	0.0
M_acac	M_ppi	R_AACOAT	0.0
M_ppi	M_acac	R_AACOAT	NaN
M_HC02024	M_lnlc	R_r1180	0.4
M_HC02024	M_chsterol	R_r1180	0.6
M_h2o	M_lnlc	R_r1180	NaN
M_h2o	M_chsterol	R_r1180	NaN
M_nadph	M_nadp	R_RE3150R	1.0
M_nadp	M_nadph	R_RE3150R	1.0
M_nadph	M_CE4837	R_RE3150R	0.0
M_CE4837	M_nadph	R_RE3150R	0.0
M_CE4830	M_nadp	R_RE3150R	0.0
M_nadp	M_CE4830	R_RE3150R	0.0
M_CE4830	M_CE4837	R_RE3150R	1.0
M_CE4837	M_CE4830	R_RE3150R	1.0
M_accoa	M_aacoa	R_ACACT1rm	0.5434782608695652
M_aacoa	M_accoa	R_ACACT1rm	1.0
M_accoa	M_coa	R_ACACT1rm	0.45652173913043476
M_coa	M_accoa	R_ACACT1rm	1.0
M_prpp	M_amp	R_ADPT	1.0
M_prpp	M_ppi	R_ADPT	0.0
M_ade	M_amp	R_ADPT	1.0
M_ade	M_ppi	R_ADPT	0.0
M_nadph	M_nadp	R_RE3150C	1.0
M_nadp	M_nadph	R_RE3150C	1.0
M_nadph	M_CE4837	R_RE3150C	0.0
M_CE4837	M_nadph	R_RE3150C	0.0
M_CE4830	M_nadp	R_RE3150C	0.0
M_nadp	M_CE4830	R_RE3150C	0.0
M_CE4830	M_CE4837	R_RE3150C	1.0
M_CE4837	M_CE4830	R_RE3150C	1.0
M_HC02020	M_chsterol	R_r1172	0.627906976744186
M_HC02020	M_hdca	R_r1172	0.37209302325581395
M_h2o	M_chsterol	R_r1172	NaN
M_h2o	M_hdca	R_r1172	NaN
M_HC02020	M_chsterol	R_r1173	0.627906976744186
M_HC02020	M_hdca	R_r1173	0.37209302325581395
M_h2o	M_chsterol	R_r1173	NaN
M_h2o	M_hdca	R_r1173	NaN
M_dhap	M_mthgxl	R_MGSA	1.0
M_dhap	M_pi	R_MGSA	0.0
M_HC02023	M_ocdcea	R_r1177	0.4
M_HC02023	M_chsterol	R_r1177	0.6
M_h2o	M_ocdcea	R_r1177	NaN
